torot_word|pos|morph_tag|deep_cleaned|lemma_id|lemma|sentence_id|pres_before|pres_after|text_id|subtitle_id
Кьнігъі|Nb|-p---fn--i|кьнігъі|10|кънигꙑ|5000000| | |10|1
р҃одства|Nb|-s---ng--i|родства|0|FIXME|5000000|| |10|1
и҃ѵ҃хва|A-|-s---ogpsi|іухва|1395|исоусовъ|5000000|| · |10|1
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000000|| |10|1
д҃два|A-|-s---ogpsi|ддва|0|FIXME|5000000|| · |10|1
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000000|| |10|1
Авраа̄мл̄ѣ|A-|-s---mgpsi|авраамлѣ|1747|авраамль|5000000|| ·|10|1
Авраа̄мъ|Ne|-s---mn--i|авраамъ|960|авраамъ|5000001| | |10|1
роди|V-|3saia----i|роді|1195|родити#1|5000001|| |10|1
ӣсаа̄ка|Ne|-s---mg--i|ісаака|961|исаакъ|5000001|| · |10|1
Ӣсаа̄кь|A-|-s---ma--i|ісаакь|1748|исааковъ|5000001|| |10|1
же|Df|---------n|же|20|же|5000001|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000001|| |10|1
ӣа̄ко̄ва|Ne|-s---mg--i|іакова|412|иꙗковъ|5000001|| · |10|1
ӣа̄ковъ|Ne|-s---mn--i|іаковъ|412|иꙗковъ|5000001|| |10|1
же|Df|---------n|же|20|же|5000001|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000001|| |10|1
Ӣю̄дѫ|Ne|-s---ma--i|іюдѫ|1110|июда|5000001|| |10|1
ӣ|C-|---------n|і|13|и|5000001|| |10|1
братіѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ|5000001|| |10|1
е̄го|Pp|3s---mg--i|его|64|и|5000001|| ·|10|1
И҅ю̄да|Ne|-s---mn--i|іюда|1110|июда|5000002| | |10|1
же|Df|---------n|же|20|же|5000002|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000002|| |10|1
