id|old_id|lemma|annotated|lemma_for_sanity_check|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response|AB response to response|JW comment|lemma_id|pos|true_frequency|frequency|lemma_has_jer|jer_tokens|tokens
1|1|быти|1|быти|быть|0.25|||будет||||||120247|V-|5497|7025|false|"есьмь|есьмъ|бѹдьше|будьть|бъс҃|ѥсьмы|быхъмъ"|"будеть|были|буди|ѥсть|бѹдеть|ѥсмь|бѹдть|былъ|буть|суть|еси|ѥси|бдуть|будуть|будть|была|есте|бꙑло|бѹдѹ|есвѣ|есемо|есьмь|е|бꙑле|бꙑхо|бꙋди|есмо|си|бѹде|е[с]и|ес|есмь|есть|бꙑ|есьмъ|бѹдеш]и|ѥсте|бѹдьше|бѹди|бꙑша|ѥсме|будешь|ѥсми|будьть|бꙑли|бꙑлъ|бꙋд[е|бꙑхъ|быти|бѹдѹщаго|бѹдетъ|сѹть|боудши|бысть|сѹт|бѹдеши|бѹдет|бы|было|бѹдѹтъ|бѹдете|бѹдѣтъ|быша|бѹт|быс|быт|был|бъ|бѹдь|бе|бѹд|бь|бѹдщемъ|бѹдѹт|естъ|б|есми|бѹдѹщемъ|бѹдешї|сущимъ|бѣ|сущая|бывъ|бѧху|бѧше|будѧше|суще|бѧста|бѧхомъ|бѣша|сутъ|сущеи|сущи|суща|быста|бывши|бывшемъ|бывшаго|будущии|будетъ|буде|сущихъ|есмы|будущая|быхомъ|бывше|сущю|буду|бѧх|бывшая|будемъ|буд|етсь|бысте|б҃ы|сущаго|будета|еста|будеши|бѣста|быв|бывшимъ|бывшю|сыи|будет|будут|бывшее|сут|сущемъ|быхом|быхъ|бых|бѣяху|ѥсмы|сущюю|бѧхъ|будете|бѧшеть|ѥста|ест|Бѣ|ѥ|бѣсте|ще|бѣхъ|бѣх|будевѣ|бывъши|Суть|беѣ|Бывъ|сущим|бѧхом|ѥсмъ|будем|есмъ|емь|Быс|бѣаше|сѹще|б]ѧше|бꙑс҃|бꙑт҃|бѧхѹть|бѣхѹ|бѣше|бѧхѹ|бꙑхомъ|бꙑста|бѧхоу|бꙑвъше|сѹт҃|бꙑти|сꙑ|соуть|соуще|быс҃|беста|беше|бъс҃|бꙑтї|бꙑвшеи|бꙑхом|бꙑвъ|бѹдѹщю|бѧш҃|сѹщю|сѹщи|бꙑхом҃|бꙑвшю|бꙑвша|бѧхуть|Выс|бывшим|бывшеѥ|бывшею|бывших|бывша|буда|сы|бы҃|будуще|будущи|ѥсьмы|будущаго|будет҃|єс҃|є|бѧша|есме|бывшюю|сущих|бывшии|єсте|бꙑсть|бꙗше|бꙗаше|сущу|бывъшю|будѣте|сѹщиихъ|бывъша|сѹщеи|бѹдѹть|бы҃с|сѹща|сѹщь|сѹщиими|бѹдꙗше|сѹщѹ|сѹщаꙗ|сѹщии|сѹщиимъ|сѹщемъ|сѹщюѹмѹ|сѹщааго|бывъшеи|бѹдевѣ|бывъше|бывъшеѥ|сѹщȣ|бѹдѣмъ|бѹдѧше|сѹщаго|бѣаша|бѧхȣть|бывъшемъ|сѹщаѧ|сȣща|бѣахѹть|сѹщимъ|сѹщема|бывъшиихъ|бѹдѹщии|бѹдѹщиї|бѧхꙋ|боудеть|боудет|єс|быстʼ|соущи|бывыи|соущимъ|бывшеє|соущїи|єсмѧ|боудꙋть|боудетъ|бывшꙋ|соущаѧ|есмѧ|сꙋщи|соуща|соущꙋ|сꙋщими|сѫщоу|соущю|боудѣте|был҃о|быхъмъ|былы|боудѣть|боудѣтѣ|боудоуть|ѥсмꙑ|бꙋдет|бывшѹ|Есмя|естя|бяше|сущии|сущими|єсмь|єсмы|бывьї|бяшетъ|Быти|Были|Бяшеть|бысь|бяхуть|быть|есмя|будущемъ|сущие|сущее|будущїи|будутъ|будеш|будешъ|быст|будущем|быстъ|бывшꙋю|ес꙽мы|бѣахꙋ|бꙋдетъ|бꙋдꙋт|был꙽|быв꙽шаго|сꙋще|сꙋть|бꙋдꙋтъ|ес꙽мь|сꙋщꙋ|сꙋщимъ|бꙋдѧше|бѣѧше|бѹдꙋщаго|сѹщꙋ|бѹдѹщаѧ|быв꙽шее|бѹдꙋщим|бѹдꙋщее|сꙋща|бѹдꙋщаѧ|сѹщих|бѹдꙋщих|бѹдем|быв꙽шѹ|бѹдꙋт|быв꙽шихъ|сѹщее|быв꙽шаѧ|сꙋщѹ|бѹдꙋщем|былѡ|бꙋде|бꙋдь|будите|будь|бꙋдѣт|бꙋдеш|Буде|сущую|боудоут|бывшагѡ|Есть|бывшоу|боудите|соущаа|Бѧхоу|соут|бꙋдемъ|соущоу|сꙋт|соущь|Бѧше|еc|боудете|Бѣсте|боудеши|бꙋдоущем|быхѡм|бꙋдеть|боуд|боуди|нѣсте|Бысть|сꙋщоу|сꙋщеи|соущим|[бѣ]|боудета|бꙋдеши"
2|2|вьсь|1|вьсь|весь|0.25|||||||||120293|Px|2128|2467|true||"все|всего|всѣхъ|всѣмъ|всѣ|вси|вохи|вохо|всихъ|всеѧ|всѧ|всемъ|всею|всем|Всѧ|всѧмѹ|всево|всю|всѣх|всех|всеми|всемѹ|вево|всемї|всехъ|весь|весъ|всѣѧ|всѧго|всѣмѹ|всѣми|Все|вс|всеи|всѣмь|всемь|всему|всѣм|всее|въсѧ|всея|всхѣ|вс-|в[сѧ|вьсь|вьсѧ|всь|всѣю|всѣи|вьсю|всѣго|всꙗ|вьси|вьсехъ|всѣх҃|всеі|всеѣ|всѣм҃|всеꙗ|всими|въсь|вьсѣми|вѣ|вьсеи|вьсе|вьсꙗ|въсю|вьсемь|вьсѣмъ|вьсего|вьсѣхъ|вьсѣмь|вьсѣ|вьсею|вьсеꙗ|вхѹ|все и|въсемѹ|всемꙋ|всѣмʼ|всѣхʼ|вохъ|всѣмоу|всемоу|Всемоу|всехо|вес|вся|всеа|всей|вса|Всю|Всѣмъ|в꙽си|[всеѧ"
3|5|рещи|1|рещи|речь|0.75|||реку||||||120265|V-|1262|1302|false|"рьч|рекъша|рѣкъхъ"|"рци|река|рекѧ|ркъ|рекше|рече|речено|рк|речетъ|рещи|реч|рѣша|рекоша|рекохомъ|рекомии|рѣста|рекъ|рька|рькуще|рьцѣте|рькущи|речно|рьци|рекъши|рекши|Реч|рцѣмъ|рекомыи|рцѣте|рьч|реклъ|рекуще|речши|ркуще|рекъше|рекъша|Рече|рекохъ|реку|рек|рекшю|реком|рѣсте|рекшема|рекоста|речаше|речть|рещи-|рекущю|рекохом|рокоша|рекуть|рѣхъ|речмъ|рекох|рекла|рѣше|рцї|рекли|ркли|рч҃е|рчи|реша|рекѹще|реч҃|рекѹче|рекомѹю|рекомꙑи|рѣкшема|рекоуче|рекоуще|ркуче|Рекуще|рекуща|р]ека|рекуше|ркоша|рькѧ|рекъли|ркѧ|рекомая|рекуче|рекѹ|рекыи|рекъшааго|реченоѥ|рекъшеѥ|речете|рекъшюѹмѹ|речеть|рекъшемъ|рекшеѥ|рекъшю|рѣкъхъ|рекѹть|рекѹщю|рекѹща|рѣхом|рекꙋт|реченʼное|ркучи|рѣче|речь|рекосте|Рекъ|р’ци|рькучи|р’кучи|речем|речеве|рекутъ|реченно|рѣши|рѣх|рекошѧ|рекꙋтъ|рек꙽шого|рек꙽ше|рекшѹ|реченное|рекшемꙋ|рекша|речет|реченномѹ|рекшемѹ|рек꙽шаго|речемъ|рекшимъ|реченаѧ|реченнаѧ|реченѣм|рекшаго|реченному|рекоут|реченое|рещы|рекоу|рцемъ|ре|рцы|рѣхѡмъ|реченномꙋ|Рцы"
4|3|кънязь|1|кънязь|князь|0.1666666667|||князей||||||120644|Nb|1246|1507|true|кънѧзѧ|"кнѧзю|кнѧзь|кнѧзѧ|кнѧземь|кънѧзѹ|къ[н]ѧз[ь|кнѧѕѧ|кнѧземъ|кн҃ѕю|кн҃ѕѧ|кнѧже|кнѧзи|кнѧзѣ|Кнѧзю|кнѧзехъ|кнѧзем|кнѧзии|кнѧ|кн҃зѧ|кн҃зѣмь|кн҃зю|кн҃зь|кн҃змь|кнз҃ь|кнз҃и|кнз҃ѧ|кнѧж҃|кнз҃емь|кн҃зи|кн҃зьма|кнз҃ю|кнзь|кънѧзь|кн҃зьмь|кн҃з҃ѧ|кнз҃мь|кн҃земь|кънѧзѧ|кнѧзьмь|кн҃зѣхъ|кънѧже|кн҃же|кн҃земъ|кн҃зихъ|кн҃зема|кнз҃ии|к[н҃зь|кнз҃ии:|Кнз҃ь|кнзи|кн҃зѣ|кнѧз|кнѧзех|кнѧзема|Кнѧзь|кнѧзем҃|кнꙗзю|кнꙗзꙗ|кънꙗземъ|кнꙗзи|кнꙗзѧ|кнꙗзь|кнꙗзьмь|кънѧзю|кънѧзьхъ|кнѧзихъ|кнѧзꙗ|кнѧзъ|кн҃зеи|к҃нзь|кънѧзоу|кнѧ҃зѧ|кн҃ѧзѧ|кн҃ѧзю|кн҃ѧзь|кн҃ѧзеи|князь|князем|князя|князю|князи|князей|князьми|Князь|князе|кн҃жѧ|кн҃змъ|кнѧзми|кнѧз҃|княземъ|княже|Княже|Княземъ|кнзю|кнзя|кнземъ|кнзеи|кнзем|княз|кнз’|кнзе|князеи|кнзьми|кнзмъ|кнѕи|кн҃зя|кнѕ҃е|кн҃ѕемъ|кн҃ѕем|кнѧѕь|кн҃ѕе|кн҃ѕь|кнѧѕех|кнѕь|к|кнѕю|﻿Кнзь|кн҃ѕи|кн҃ѕехъ|кнѧѕи|кнѕѧ|Кн҃ѕю"
5|4|приити|1|приити|прийти|0.1666666667|||приду||||||120350|V-|964|1328|false|придьши|"придеть|пришедъ|приде|пришьла|придьши|пришли|прїидетъ|прїидѹт|прїити|пришед|придет|прїидѹтъ|пришла|пришедше|прити|пришедшю|придоша|пришедъша|придоста|придѣта|пришедъше|пришедъшема|Приде|пришедъшемъ|пришедшимъ|придуть|придут|придохомъ|придосте|приду|пришедъшимъ|придите|Придоша|пришедша|пришелъ|прішелъ|придохъ|прешедъше|прише|придѣте|пришедъшю|придохо|прідеть|пріде|прїде|пришедшема|Пришедъ|прїшедшю|приди|придемъ|придущемь|придѧху|придох|пришедшими|прідоша|придохом|придеши|пришедшее|пришьдъ|пришьдъше|пришьдъшмъ|придете|пришьлъ|пришло|прид|Пришелъ|пришедшаго|пришедшим|пришедши|пришдъшима|приидуть|Приидоша|приити|приидоша|прииде|приидѹть|пришь|прииди|пришьдъши|пришедъши|приидохъ|приидѹщии|пришьдъша|приидеть|пришьдъшю|пришьдъшемъ|приидѧше|пришьдъшеѥ|приидохомъ|пришьдъшема|прїдохъ|пришьли|пришедʼша|прїидохъ|прїиде|прїидꙋть|прїидеть|прїидѣте|прїидоша|пришедʼ|пришедʼшаго|прїидем|придѣть|придоуть|пришлї|пришел|приидох꙽|приидох|придѣ|Прїидоша|прїидосте|прїидѹ|прїидох|прїйде|прїиду|прїидоста|пришедыи|прїидохом|пришед꙽ше|пришол|прїидеши"
6|6|дьнь|1|дьнь|день|0.25|||дней||||||120391|Nb|939|1164|true|дьнии|"дн҃ь|дн҃и|дн҃е|дни|дн҃еи|дн҃їи|дн҃емъ|д҃ни|д҃не|дне|днемъ|дн҃хъ|днии|д҃нь|д҃нии|д҃нье|д҃нехъ|дн҃ии|дн҃|дн҃ьми|дн҃емь|дни҃|дн҃и:|дн҃евъ|дн҃ьѥ|дн҃ехъ|день|дн҃і|дн҃иі|днь|дн҃ъ|дн҃ьмъ|дн҃иѥ|дьнь|д҃ньхъ|дн҃ию|дьни|дн҃ьхъ|дьньхъ|дьне|дн҃ью|дьнии|д҃немʼ|д҃нїи|д|д҃н҃и|д҃неи|днеи|дн҃ем|дн҃я|днях|днех|дном|дн҃ие|днем|дневи|д҃нїе|дн҃їе|дн҃ех|дн҃іи|дн҃еви|дн҃ех꙽|д҃нех|д҃нем|де|дня"
7|8|мъногыи|1|мъногыи|многий|0.4285714286|||многого||||||134423|A-|750|901|true||"мнѡго|мнѡгимъ|многи|много|многими|мъного|мног|многихъ|многие|многїѧ|мнози|многих|многа|мнозѣхъ|многъ|многу|многы|многое|многѹ|многым|многаго|мнозѣ|многыми|мнозѣмъ|многꙑ|мног҃|многых|многою|многыхъ|многоє|многым҃|многомъ|мъногы|многымь|мънозѣ|мънози|мъногому|мъногыхъ|многааго|множаиша|мъногааго|мънозѣми|мъногъ|мъногомъ|многыими|многыимъ|мнага|мнозѣми|многымъ|многыи|мъногѹ|многаа|мънога|мнозѣмь|многыихъ|многȣ|мнозѣи|многыꙗ|мъногаго|многїе|многаѧ|многїа|многыѧ|многїи|Мънога|мъногамъ|мънага|многим|мнозии|мноȥи|мноȥими|многимї|многия|многимъ|мнѡжаишаѧ|мноѕи|мнѡгими|мнѡги|мнѡѕи|мноѕѣ|мнѡга|множаишїи|мнѡгим|мнѡѕем|мнѡѕех|мноѕе|мнѡжаишїи|мнѡгих|множаишим|множаишаѧ|мнѡгїѧ|мнѡземъ|мнѡжаищеи|мнѡгиѧ|многіе|мнѡгыми|мнѡгых|мнѡгы|мнѡгъ|мнѡгыѧ|мнѡгоую|мнѡѕѣх|мнѡгымъ|мнѡзѣми|мнѡгыхъ|мнѡгою"
8|7|земля|1|земля|земля|0|||земель||||||120254|Nb|730|997|false|земьлѧ|"землѧмъ|землю|землѧ|земли|земле|земель|землѧхъ|земѧ|землѣ|земль|землею|зелмю|землі|землѧм|земьли|земьлю|землꙗ|землї|землю҃|земл҃і|земьлѧ|землꙗмъ|зѣмлꙗмъ|зѣмли|земля|ȥемли|ȥемлѧ|ȥемлю|Земля|землямъ|землями|земълю|зем’ли|зем’ля|землям|зем’лю|змли|ѕемлю|Землѧ"
9|9|отьць|1|отьць|отец|0.4|||отцов||||||120448|Nb|689|878|true|"оць҃|отьца"|"оц҃ю|ѡци|ѡтцѧ|ѡц҃ѧ|отець|отьць|о[ть]чеви|оц҃а|ѿц҃а|ѿц҃ѣхъ|ѿц҃овъ|ѿц҃евъ|ѿц҃емъ|ѿц҃ѹ|ѿц҃ем|ѿц҃ъ|ѿч҃е|ѡтецъ|ѿць|ѡтьци|ѡтець|ѡ҃ць|ѿца|ѡц҃ь|ѡ҃ца|ѡц҃ю|ѡці|ѡ҃ци|ѡче|ѡ҃цемъ|ѡц҃мь|ѡ҃цю|ѡц҃а|ѡц҃и|ѡч҃е|ѡц҃емь|ѡцтю|ѿц҃емь|ѡц҃емъ|ѡц҃ихъ|оч҃е|оц҃ѧ|оц҃ь|оч҃ѧ|оц҃мь|оч҃и|оцв҃и|оч҃ь|оц҃и|оць҃|оца҃|ѡ҃ц҃ь|отьцю|отьца|отьче|оц҃емь|о҃че|оц҃ѹ|оц҃ьмь|оцѧ҃|оц҃емъ|о҃ца|ѿц҃оу|ѡчи|отца|отец|отцем|отцов|отцы|ѡч҃ѧ|отецъ|о҃цъ|ѿцъ|ѿцем|ѡц҃у|ѿц҃у|ѿче|ѿц҃ы|ѿц҃ь|ѿцемъ|ѿцу|ѡтц҃а|ѡтч҃е|ѡтц҃ъ|ѿц҃ꙋ|ѿцы|ѿч҃|Ѿцо҃у|Ѿц҃а|ѿц҃и|Ѿч҃е|Ѿц҃емъ"
10|14|вьсякыи|1|вьсякыи|всякий|0.4285714286|||всяких||||||123285|A-|627|665|true||"всѧкоꙗ|всѧкъ|ВСЯКОМУ|всѧкомъ|всѧкої|всѧкои|всѧкаѧ|всякїѧ|всѧкого|всѧкаго|всѧкомѹ|всѧкое|всѧких|всѧкѹ|всѧкѹю|всѧкимъ|всѧкїѧ|всѧкїе|всѧкими|всѧким|всѧк|всѧкою|всѧко|всѧкїи|всѧкїхъ|Всѧкомѹ|всѧкой|Всѧкаѧ|всѧком|всѧкай|всѧково|всѧког|всѧкихъ|всѧки|всѧко̏|всѧкие|всѧкѧ|всѧй|Всѧкамѹ|всѧкиѧ|всѧкамѹ|всѧкии|всѧкоя|всѧкомь|всѧка|всѣку|всѧкому|всѧку|всѧкия|вьсѧкого|всѧкыми|всѧкыи|вьсꙗка|вьсꙗцѣмь|вьсꙗкою|всꙗкоꙗ|всꙗкѹю|всꙗкыимь|всꙗкого|вьсꙗкомѹ|всꙗкымь|всꙗкѹ|всꙗкою|всꙗкъ|вьсꙗкыимь|вьсѧкыимь|вьсѧкомь|всѧкаꙗ|всѧкым|всѧкїа|Всѧкому|всѧкомоу|всѧкыѧ|всѧкы|всаком|всакими|всякыми|всякаго|всяк|всякои|всякому|всяко|всякъ|всякия|всакому|всяком|всѧкꙋ|всѧкꙋю|всѧкомꙋ|всѧцѣи|всѧкогѡ|всякие|всякое|всякова|всякую|всякоя|всякоі|всякого|всяким|всѧкь|всѧкоу|всѧкымъ|Всѧкомоу|всѧкѡ|вскаго"
