%%293507,,
тъ,Pd,-s---mn--i
васъ,Pp,2p---qg--i
крьстітъ,V-,3spia----i
дхомь,Nb,-s---mi--i
стъімь,A-,-s---oipwi
і,C-,---------n
огнемь,Nb,-s---mi--i
%%293508,,
емоуже,Pr,-s---md--i
лопата,Nb,-s---fn--i
въ,R-,---------n
рѫкоу,Nb,-d---fl--i
его,Pp,3s---og--i
%%293509,,
і,C-,---------n
потрѣбітъ,V-,3spia----i
гоумъно,Nb,-s---na--i
свое,Pt,3s---na--i
%%293510,,
і,C-,---------n
съберетъ,V-,3spia----i
пьшеніцѫ,Nb,-s---fa--i
въ,R-,---------n
жітьніцѫ,Nb,-s---fa--i
%%293511,,
а,C-,---------n
плѣвъі,Nb,-p---fa--i
съжежетъ,V-,3spia----i
огнемь,Nb,-s---mi--i
негасімъімь,V-,-spppmi-wi
%%293512,,
тогда,Df,---------n
пріде,V-,3saia----i
іс,Ne,-s---mn--i
отъ,R-,---------n
галілеѧ,Ne,-s---fg--i
на,R-,---------n
іорданъ,Ne,-s---ma--i
къ,R-,---------n
іоаноу,Ne,-s---md--i
крьстіті,V-,--pna----i
сѧ,Pk,3s---qa--i
отъ,R-,---------n
него,Pp,3s---mg--i
%%293513,,
іоанъ,Ne,-s---mn--i
же,Df,---------n
възбранѣше,V-,3siia----i
емоу,Pp,3s---od--i
глѧ,V-,-sppamn-si
%%293514,,
азъ,Pp,1s---mn--i
трѣбоуѭ,V-,1spia----i
отъ,R-,---------n
тебе,Pp,2s---mg--i
крьстіті,V-,--pna----i
сѧ,Pk,3s---qa--i
%%293515,,
а,C-,---------n
тъі,Pp,2s---mn--i
лі,Df,---------n
къ,R-,---------n
мнѣ,Pp,1s---md--i
грѧдеші,V-,2spia----i
%%293516,,
отъвѣштавъ,V-,-supamn-si
же,Df,---------n
іс,Ne,-s---mn--i
рече,V-,3saia----i
къ,R-,---------n
немоу,Pp,3s---md--i
%%293517,,
остані,V-,2spma----i
нъінѣ,Df,---------n
%%293518,,
тако,Df,---------n
бо,Df,---------n
подобьно,A-,-s---nnpsi
намъ,Pp,1p---qd--i
естъ,V-,3spia----i
съкончаті,V-,--pna----i
всѣкѫ,A-,-s---fapsi
правъдѫ,Nb,-s---fa--i
%%293519,,
тогда,Df,---------n
оставі,V-,3saia----i
его,Pp,3s---mg--i
%%293520,,
крьшть,V-,-supamn-si
сѧ,Pk,3s---qa--i
іс,Ne,-s---mn--i
і,C-,---------n
възіде,V-,3saia----i
отъ,R-,---------n
водъі,Nb,-s---fg--i
%%293521,,
і,C-,---------n
се,I-,---------n
отвръзошѧ,V-,3paia----i
сѧ,Pk,3s---qa--i
емоу,Pp,3s---md--i
%%293522,,
і,C-,---------n
відѣ,V-,3saia----i
дхъ,Nb,-s---ma--i
бжіі,A-,-s---mapsi
съходѧшть,V-,-sppama-si
ѣко,Df,---------n
голѫбь,Nb,-s---mn--i
і,C-,---------n
грѧдѫшть,V-,-sppama-si
на,R-,---------n
нь,Pp,3s---ma--i
%%293523,,
і,C-,---------n
се,I-,---------n
гласъ,Nb,-s---mn--i
съ,R-,---------n
нбсе,Nb,-s---ng--i
глѧ,V-,-sppamn-si
%%293524,,
сь,Pd,-s---mn--i
естъ,V-,3spia----i
снъ,Nb,-s---mn--i
моі,Ps,1s---mn--i
възлюбленъі,V-,-suppmn-wi
%%293525,,
о,R-,---------n
немь,Pp,3s---ml--i
же,Df,---------n
благоволіхъ,V-,1saia----i
%%293526,,
тогда,Df,---------n
іс,Ne,-s---mn--i
възведенъ,V-,-suppmn-si
бъістъ,V-,3saia----i
дхомь,Nb,-s---mi--i
въ,R-,---------n
поустъінѭ,Nb,-s---fa--i
іскоусіті,V-,--pna----i
сѧ,Pk,3s---qa--i
отъ,R-,---------n
непріѣзні,Nb,-s---fg--i
%%293527,,
і,C-,---------n
пошть,V-,-supamn-si
сѧ,Pk,3s---qa--i
дьніі,Nb,-p---mg--i
к,Ma,-s---mn--i
і,C-,---------n
ноштіі,Nb,-p---ng--i
послѣдь,Df,---------n
възлака,V-,3saia----i
%%293528,,
і,C-,---------n
прістѫпі,V-,3saia----i
къ,R-,---------n
немоу,Pp,3s---md--i
діѣволъ,Nb,-s---mn--i
іскоушаѧ,V-,-sppamn-si
і,Pp,3s---ma--i
і,C-,---------n
рече,V-,3saia----i
%%293529,,
аште,G-,---------n
снъ,Nb,-s---mn--i
есі,V-,2spia----i
бжіі,A-,-s---mapsi
рьці,V-,2spma----i
да,G-,---------n
каменіе,Nb,-s---nn--i
се,Pd,-s---nn--i
хлѣбі,Nb,-p---mn--i
бѫдѫтъ,V-,3pfia----i
%%293530,,
онъ,Pd,-s---mn--i
же,Df,---------n
отъвѣштавъ,V-,-supamn-si
рече,V-,3saia----i
%%293531,,
пішетъ,V-,3spia----i
%%293532,,
не,Df,---------n
о,R-,---------n
хлѣбѣ,Nb,-s---ml--i
едіномь,Ma,-s---ol--i
пожіветъ,V-,3spia----i
чкъ,Nb,-s---mn--i
нъ,C-,---------n
о,R-,---------n
всемь,Px,-s---ml--i
глѣ,Nb,-s---ml--i
ісходѧштіімь,V-,-sppaml-wi
із,R-,---------n
