сапогоу,Nb,1128,сапогъ
понести,V-,984,понести
аште,G-,248,аще
ли,Df,249,ли
речетъ,V-,106,рещи
зълъꙇ,A-,522,зълъ
рабъ,Nb,511,рабъ
тъ,Pd,105,тъ
въ,R-,111,въ
сръдьци,Nb,446,срьдьце
своемъ,Pt,217,свои
моудитъ,V-,6270,мѫдити
мои,Ps,447,мои
г҃нъ,Nb,1100,господинъ
прити,V-,221,прити
ꙇ,C-,13,и
начьнетъ,V-,82,начѧти
клеврѣтꙑ,Nb,1579,клеврѣтъ
своѩ,Pt,217,свои
ѣсти,V-,818,ꙗсти
же,Df,20,же
ꙇ,C-,13,и
пити,V-,365,пити
съ,R-,92,съ
пьѣницами,Nb,2997,пиꙗньство
придетъ,V-,221,прити
г҃ь,Nb,342,господь
раба,Nb,2441,раба
того,Pd,105,тъ
въ,R-,111,въ
дьнь,Nb,523,дьнь
въ,R-,111,въ
н҄ьже,Pr,96,иже
не,Df,8,не
чаетъ,V-,1183,чаꙗти
ꙇ,C-,13,и
въ,R-,111,въ
часъ,Nb,422,часъ
въ,R-,111,въ
н҄ьже,Pr,96,иже
не,Df,8,не
вѣстъ,V-,138,вѣдѣти
ꙇ,C-,13,и
протешетъ,V-,1870,протесати
ꙇ,C-,13,и
полъма,Nb,986,полъ#1
ꙇ,C-,13,и
чѧсть,Nb,1871,чѧсть
его,Pp,64,и
съ,R-,92,съ
упокритꙑ,Nb,762,ѵпокритъ
тꙑ,Pp,304,тꙑ
положитъ,V-,1262,положити
благꙑ,A-,363,благъ
бо,Df,94,бо
ч҃къ,Nb,211,чловѣкъ
отъ,R-,80,отъ
благааго,A-,363,благъ
съкровишта,Nb,797,съкровище
сръдьца,Nb,446,срьдьце
своего,Pt,217,свои
ꙇзноситъ,V-,1285,износити
благое,A-,363,благъ
ꙇ,C-,13,и
зълꙑ,A-,522,зълъ
ч҃къ,Nb,211,чловѣкъ
отъ,R-,80,отъ
зълааго,A-,522,зълъ
съкровишта,Nb,797,съкровище
своего,Pt,217,свои
ꙇзноситъ,V-,1285,износити
л,Ma,74,тридесѧть
зълое,A-,522,зълъ
Ꙇ,C-,13,и
обрѣте,V-,225,обрѣсти
въ,R-,111,въ
цръкъве,Nb,38,црькꙑ
продаѭштѧѩ,V-,1374,продаꙗти
овьцѧ,Nb,1097,овьца
ꙇ,C-,13,и
волꙑ,Nb,2837,волъ
ꙇ,C-,13,и
голѫби,Nb,1142,голѫбь
ꙇ,C-,13,и
пѣнѧжьникꙑ,Nb,2959,пѣнѧжьникъ
сѣдѧштѧ,V-,1041,сѣдѣти
ꙇ,C-,13,и
сътворь,V-,73,сътворити
ѣко,G-,115,ꙗко
бичь,Nb,3078,бичь
отъ,R-,80,отъ
връвиі,Nb,3079,врьвь
вьсѧ,Px,54,вьсь
ꙇзгъна,V-,315,изгънати
ꙇ,C-,13,и
цръкъве,Nb,38,црькꙑ
овьцѧ,Nb,1097,овьца
же,Df,20,же
ꙇ,C-,13,и
волꙑ,Nb,2837,волъ
ꙇ,C-,13,и
тръжьникомъ,Nb,1677,тръжьникъ
расꙑпа,V-,3080,расꙑпати
пѣнѧзѧ,Nb,1581,пѣнѧѕь
ꙇ,C-,13,и
дъскꙑ,Nb,171,дъска
опровръже,V-,3081,опроврѣщи
ꙇ,C-,13,и
продаѭштимъ,V-,1374,продаꙗти
голѫби,Nb,1142,голѫбь
рече,V-,106,рещи
не,Df,8,не
творите,V-,637,творити
домоу,Nb,374,домъ
о҃ца,Nb,34,богъ
моего,Ps,447,мои
домоу,Nb,374,домъ
коупльнаего,A-,3082,коупльнъ
Помѣнѫшѧ,V-,1957,помѧнѫти
же,Df,20,же
оученици,Nb,359,оученикъ
его,Pp,64,и
ѣко,G-,115,ꙗко
напсано,V-,172,напьсати
естъ,V-,18,бꙑти
жалость,Nb,3083,жалость
домоу,Nb,374,домъ
твоего,Ps,307,твои
сънѣстъ,V-,1252,сънѣсти
мѧ,Pp,440,азъ
ѡтъвѣшташѧ,V-,271,отъвѣщати
же,Df,20,же
ꙇюдеі,Nb,2043,июдеи
ꙇ,C-,13,и
