id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,bitflag
1,о,R-,о,1243,chrabr,,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,509
2,писмѧ,Nb,пісмѧ,40,chrabr,,,,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,481
3,чрьноризьць,Nb,чрьнорізьць,10,chrabr,,,,,supr_y_fixed,,,,33
4,храбъръ,Ne,храбъръ,1,chrabr,,,,,,,,,1
5,прѣжде,Df,прѣжде,149,chrabr,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,505
6,оубо,Df,оубо,784,chrabr,,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,,zogr_complete,381
7,словѣне,Nb,словѣне,4,chrabr,,,,,,,vit-meth_4_removed,,129
8,не,Df,не,4439,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
9,имѣти,V-,імѣті,928,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
10,кънигꙑ,Nb,кънігъі,126,chrabr,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,505
11,нъ,C-,нъ,1089,chrabr,,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,509
12,чрьта,Nb,чрьта,4,chrabr,,,marianus,,,,,zogr_complete,265
13,и,C-,і,16330,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
14,рѣза,Nb,рѣза,1,chrabr,,,,,,,,,1
15,чисти,V-,чісті,88,chrabr,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,489
16,гадати,V-,гадаті,1,chrabr,,,,,,,,,1
17,поганъ,A-,поганъ,15,chrabr,,,,,supr_y_fixed,,vit-meth_4_removed,,161
18,бꙑти,V-,бъіті,7116,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
19,крьстити,V-,крьстіті,82,chrabr,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,489
20,же,Df,же,4836,chrabr,,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,509
21,себе,Pk,себе,6498,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
22,римьскъ,A-,рімьскъ,24,chrabr,,,marianus,,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,489
23,грьчьскъ,A-,грьчьскъ,17,chrabr,,,,,supr_y_fixed,vit-const,vit-meth_4_removed,,225
24,нѫждати,V-,нѫждаті,2,chrabr,,,,psal-sin_sentence_removed,,,,,17
25,словѣньскꙑ,Df,словѣньскъі,6,chrabr,,,,,,vit-const,vit-meth_4_removed,,193
26,рѣчь,Nb,рѣчь,36,chrabr,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,505
27,без,R-,без,236,chrabr,euch,kiev-mis,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,511
28,оустроѥниѥ,Nb,оустроеніе,5,chrabr,,,,,supr_y_fixed,,,,33
29,но,C-,но,1,chrabr,,,,,,,,,1
30,како,Du,како,358,chrabr,,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,505
31,мощи,V-,мошті,422,chrabr,euch,,marianus,psal-sin_sentence_removed,supr_y_fixed,vit-const,vit-meth_4_removed,zogr_complete,507
