сапогоу,Nb,сапогъ
понести,V-,понести
аште,G-,аще
ли,Df,ли
речетъ,V-,рещи
зълъꙇ,A-,зълъ
рабъ,Nb,рабъ
тъ,Pd,тъ
въ,R-,въ
сръдьци,Nb,срьдьце
своемъ,Pt,свои
моудитъ,V-,undefined
мои,Ps,мои
г҃нъ,Nb,господинъ
прити,V-,прити
ꙇ,C-,и
начьнетъ,V-,начѧти
клеврѣтꙑ,Nb,клеврѣтъ
своѩ,Pt,свои
ѣсти,V-,ꙗсти
же,Df,же
ꙇ,C-,и
пити,V-,пити
съ,R-,съ
пьѣницами,Nb,undefined
придетъ,V-,прити
г҃ь,Nb,господь
раба,Nb,раба
того,Pd,тъ
въ,R-,въ
дьнь,Nb,дьнь
въ,R-,въ
н҄ьже,Pr,иже
не,Df,не
чаетъ,V-,чаꙗти
ꙇ,C-,и
въ,R-,въ
часъ,Nb,часъ
въ,R-,въ
н҄ьже,Pr,иже
не,Df,не
вѣстъ,V-,вѣдѣти
ꙇ,C-,и
протешетъ,V-,протесати
ꙇ,C-,и
полъма,Nb,полъ#1
ꙇ,C-,и
чѧсть,Nb,чѧсть
его,Pp,и
съ,R-,съ
упокритꙑ,Nb,ѵпокритъ
тꙑ,Pp,тꙑ
положитъ,V-,положити
благꙑ,A-,благъ
бо,Df,бо
ч҃къ,Nb,чловѣкъ
отъ,R-,отъ
благааго,A-,благъ
съкровишта,Nb,съкровище
сръдьца,Nb,срьдьце
своего,Pt,свои
ꙇзноситъ,V-,износити
благое,A-,благъ
ꙇ,C-,и
зълꙑ,A-,зълъ
ч҃къ,Nb,чловѣкъ
отъ,R-,отъ
зълааго,A-,зълъ
съкровишта,Nb,съкровище
своего,Pt,свои
ꙇзноситъ,V-,износити
л,Ma,тридесѧть
зълое,A-,зълъ
Ꙇ,C-,и
обрѣте,V-,обрѣсти
въ,R-,въ
цръкъве,Nb,црькꙑ
продаѭштѧѩ,V-,продаꙗти
овьцѧ,Nb,овьца
ꙇ,C-,и
волꙑ,Nb,волъ
ꙇ,C-,и
голѫби,Nb,голѫбь
ꙇ,C-,и
пѣнѧжьникꙑ,Nb,пѣнѧжьникъ
сѣдѧштѧ,V-,сѣдѣти
ꙇ,C-,и
сътворь,V-,сътворити
ѣко,G-,ꙗко
бичь,Nb,бичь
отъ,R-,отъ
връвиі,Nb,врьвь
вьсѧ,Px,вьсь
ꙇзгъна,V-,изгънати
ꙇ,C-,и
цръкъве,Nb,црькꙑ
овьцѧ,Nb,овьца
же,Df,же
ꙇ,C-,и
волꙑ,Nb,волъ
ꙇ,C-,и
тръжьникомъ,Nb,тръжьникъ
расꙑпа,V-,расꙑпати
пѣнѧзѧ,Nb,пѣнѧѕь
ꙇ,C-,и
дъскꙑ,Nb,дъска
опровръже,V-,опроврѣщи
ꙇ,C-,и
продаѭштимъ,V-,продаꙗти
голѫби,Nb,голѫбь
рече,V-,рещи
не,Df,не
творите,V-,творити
домоу,Nb,домъ
о҃ца,Nb,богъ
моего,Ps,мои
домоу,Nb,домъ
коупльнаего,A-,коупльнъ
Помѣнѫшѧ,V-,помѧнѫти
же,Df,же
оученици,Nb,оученикъ
его,Pp,и
ѣко,G-,ꙗко
напсано,V-,напьсати
естъ,V-,бꙑти
жалость,Nb,жалость
домоу,Nb,домъ
твоего,Ps,твои
сънѣстъ,V-,сънѣсти
мѧ,Pp,азъ
ѡтъвѣшташѧ,V-,отъвѣщати
же,Df,же
ꙇюдеі,Nb,июдеи
ꙇ,C-,и
рѣшѧ,V-,рещи
емоу,Pp,и
кое,Pi,кꙑи
ѣвл҄ѣеши,V-,авлꙗти
ѣко,G-,ꙗко
си,Pd,сь
твориши,V-,творити
Ѡтъвѣшта,V-,отъвѣщати
ꙇ҃с,Ne,исоусъ
ꙇ,C-,и
рече,V-,рещи
ꙇмъ,Pp,и
разорите,V-,разорити
цръковь,Nb,црькꙑ
сиѭ,Pd,сь
ꙇ,C-,и
трьми,Ma,триѥ
дьнꙑ,Nb,дьнь
вьздвігнѫ,V-,въздвигнѫти
ѭ,Pp,и
рѣшѧ,V-,рещи
же,Df,же
ꙇюдѣи,Nb,июдеи
четꙑрьми,Ma,четꙑрe
десѧтꙑ,Ma,десѧть
ꙇ,C-,и
шестиѭ,Ma,шесть
лѣтъ,Nb,лѣто
съзъдана,V-,съзьдати
бꙑс,V-,бꙑти
ц҃ркꙑ,Nb,црькꙑ
си,Pd,сь
ꙇ,C-,и
тꙑ,Pp,тꙑ
ли,Du,ли
трьми,Ma,триѥ
дьнꙑ,Nb,дьнь
вьздвігнеши,V-,въздвигнѫти
ѭ,Pp,и
онъ,Pd,онъ
же,Df,же
г҃лааше,V-,глаголати
о,R-,о
цръкъви,Nb,црькꙑ
тѣла,Nb,тѣло
своего,Pt,свои
егда,Dq,ѥгда
оубо,Df,оубо
въста,V-,въстати
отъ,R-,отъ
мрътвꙑхъ,A-,мрьтвъ
помѧнѫшѧ,V-,помѧнѫти
оученици,Nb,оученикъ
его,Pp,и
ѣкоже,Dq,ꙗкоже
г҃лааше,V-,глаголати
ꙇ,C-,и
вѣрѫ,Nb,вѣра
ѩшѧ,V-,ѩти
кън҄игамъ,Nb,кънигꙑ
ꙇ,C-,и
словеси,Nb,слово
еже,Pr,иже
рече,V-,рещи
и҃с,Ne,исоусъ
егда,Dq,ѥгда
бѣ,V-,бꙑти
въ,R-,въ
і҃ꙇлмѣхъ,Nb,undefined
въ,R-,въ
пасха,Nb,пасха
въ,R-,въ
праздьникъ,Nb,праздьникъ
мънози,A-,мъногъ
вѣровашѧ,V-,вѣровати
въ,R-,въ
імѧ,Nb,имѧ
его,Pp,и
видѧште,V-,видѣти
знаменьѣ,Nb,знамениѥ
его,Pp,и
ѣже,Pr,иже
творѣаше,V-,творити
самъ,Pd,самъ
же,Df,же
и҃с,Ne,исоусъ
не,Df,не
въдааше,V-,въдаꙗти
себе,Pk,себе
въ,R-,въ
вѣрѫ,Nb,вѣра
ꙇхъ,Pp,и
ꙇмьже,Pr,иже
самъ,Pd,самъ
вѣдѣаше,V-,вѣдѣти
вьсе,Px,вьсь
ꙇ,C-,и
ѣко,G-,ꙗко
не,Df,не
трѣбоваше,V-,трѣбовати
да,G-,да
къто,Px,къто
съвѣдѣтел҄ьствоуетъ,V-,съвѣдѣтельствовати
о,R-,о
ч҃цѣ,Nb,чловѣкъ
самъ,Pd,самъ
бо,Df,бо
вѣдѣаше,V-,вѣдѣти
чьто,Pi,чьто
бѣ,V-,бꙑти
въ,R-,въ
ч҃цѣ,Nb,чловѣкъ
Бѣ,V-,бꙑти
ч҃къ,Nb,чловѣкъ
отъ,R-,отъ
фарисѣі,Nb,фарисеи
никодимъ,Ne,никодимъ
ꙇмѧ,Nb,имѧ
емоу,Pp,и
кънѧзь,Nb,кънѧѕь
ꙇюдеꙇскъ,A-,июдеискъ
сь,Pd,сь
приде,V-,прити
къ,R-,къ
н҄емоу,Pp,и
ноштиѭ,Nb,нощь
ꙇ,C-,и
рече,V-,рещи
емоу,Pp,и
равⸯви,Nb,равви
вѣмь,V-,вѣдѣти
ѣко,G-,ꙗко
отъ,R-,отъ
б҃а,Nb,богъ
пришьлъ,V-,прити
еси,V-,бꙑти
оучител҄ь,Nb,оучитель
никътоже,Px,никътоже
бо,Df,бо
не,Df,не
можетъ,V-,мощи
знамени,Nb,undefined
сихъ,Pd,сь
творити,V-,творити
ѣже,Pr,иже
тꙑ,Pp,тꙑ
сътвориши,V-,сътворити
аште,G-,аще
не,Df,не
бѫдетъ,V-,бꙑти
б҃ъ,Nb,богъ
съ,R-,съ
н҄имь,Pp,и
отъвѣшта,V-,отъвѣщати
и҃с,Ne,исоусъ
ꙇ,C-,и
рече,V-,рещи
емоу,Pp,и
амин,I-,аминъ
амин,I-,аминъ
г҃лѭ,V-,глаголати
тебѣ,Pp,тꙑ
аште,G-,аще
къто,Px,къто
не,Df,не
родитъ,V-,родити#1
сѧ,Pk,себе
съвꙑше,Df,съвꙑше
не,Df,не
можетъ,V-,мощи
видѣти,V-,видѣти
ц҃рсиѣ,Nb,цѣсарьствиѥ
б҃жиѣ,A-,божии
г҃ла,V-,глаголати
къ,R-,къ
н҄емоу,Pp,и
никодимъ,Ne,никодимъ
како,Du,како
можетъ,V-,мощи
ч҃къ,Nb,чловѣкъ
родити,V-,родити#1
сѧ,Pk,себе
старъ,A-,старъ
сꙑ,V-,бꙑти
еда,Du,еда
можетъ,V-,мощи
въторицеѭ,Df,въторицеѭ
въ,R-,въ
ѫтробѫ,Nb,ѫтроба
вьлѣсти,V-,вълѣсти
матере,Nb,мати
своеѩ,Pt,свои
ꙇ,C-,и
родити,V-,родити#1
сѧ,Pk,себе
отъвѣшта,V-,отъвѣщати
и҃с,Ne,исоусъ
амин,I-,аминъ
амин,I-,аминъ
г҃лѭ,V-,глаголати
тебѣ,Pp,тꙑ
аште,G-,аще
къто,Px,къто
не,Df,не
родитъ,V-,родити#1
сѧ,Pk,себе
водоѭ,Nb,вода
ꙇ,C-,и
д҃хомь,Nb,доухъ
не,Df,не
можетъ,V-,мощи
вьнити,V-,вънити
вь,R-,въ
ц҃рсие,Nb,цѣсарьствиѥ
б҃жие,A-,божии
рожденъ,V-,undefined
отъ,R-,отъ
плъти,Nb,плъть
плъть,Nb,плъть
естъ,V-,бꙑти
ꙇ,C-,и
рождено,V-,undefined
отъ,R-,отъ
д҃ха,Nb,доухъ
д҃хъ,Nb,доухъ
естъ,V-,бꙑти
не,Df,не
чюди,V-,чоудити
сѧ,Pk,себе
ѣко,G-,ꙗко
рѣхъ,V-,рещи
ти,Pp,тꙑ
подобаетъ,V-,подобати
вамъ,Pp,вꙑ
родити,V-,родити#1
сѧ,Pk,себе
съвꙑше,Df,съвꙑше
д҃хъ,Nb,доухъ
ꙇдеже,Dq,идеже
хоштетъ,V-,хотѣти
доушетъ,V-,доухати
ꙇ,C-,и
гласъ,Nb,гласъ
его,Pp,и
слꙑшиши,V-,слꙑшати
нъ,C-,нъ
не,Df,не
вѣси,V-,вѣдѣти
отъкѫдоу,Du,отъкѫдоу
приходитъ,V-,приходити
ꙇ,C-,и
камо,Du,камо
ꙇдетъ,V-,ити
тако,Df,тако
естъ,V-,бꙑти
