Кьнігъі|Nb|-p---fn--i|кьнігъі|10|кънигꙑ
р҃одства|Nb|-s---ng--i|родства|0|FIXME
и҃ѵ҃хва|A-|-s---ogpsi|іухва|1395|исоусовъ
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
д҃два|A-|-s---ogpsi|ддва|0|FIXME
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
Авраа̄мл̄ѣ|A-|-s---mgpsi|авраамлѣ|1747|авраамль
Авраа̄мъ|Ne|-s---mn--i|авраамъ|960|авраамъ
роди|V-|3saia----i|роді|1195|родити#1
ӣсаа̄ка|Ne|-s---mg--i|ісаака|961|исаакъ
Ӣсаа̄кь|A-|-s---ma--i|ісаакь|1748|исааковъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣа̄ко̄ва|Ne|-s---mg--i|іакова|412|иꙗковъ
ӣа̄ковъ|Ne|-s---mn--i|іаковъ|412|иꙗковъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
Ӣю̄дѫ|Ne|-s---ma--i|іюдѫ|1110|июда
ӣ|C-|---------n|і|13|и
братіѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ
е̄го|Pp|3s---mg--i|его|64|и
И҅ю̄да|Ne|-s---mn--i|іюда|1110|июда
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
фареса|Nb|-p---na--i|фареса|0|FIXME
ӣ|C-|---------n|і|13|и
зара|Ne|-s---mg--i|зара|0|FIXME
ѡ̄̄тъ|R-|---------n|отъ|80|отъ
тамаръи|Nb|-s---fg--i|тамаръі|0|FIXME
фаресъ|V-|-supamn-si|фаресъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
е̄ср̄ома|Nb|-s---mg--i|есрома|0|FIXME
е̄сромь|Nb|-s---mi--i|есромь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
а̄раа̄ма|Ne|-s---mg--i|араама|0|FIXME
А̄раа̄мъ|Nb|-p---fd--i|араамъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
а̄мінадава|A-|-s---fnpsi|амінадава|2570|аминадавовъ
а̄мінадавъ|V-|-supamn-si|амінадавъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
Насс̆она|Ne|-s---mg--i|нассона|0|FIXME
насс̆о̄нъ|Nb|-s---ma--i|нассонъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
сальмона|Ne|-s---mg--i|сальмона|2379|саломи
Салм̄онъ|Ne|-s---mn--i|салмонъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
Воо҅за|Nb|-s---fn--i|вооза|0|FIXME
о$т@|R-|---------n|от|80|отъ
рахавъі|A-|-supamn-wi|рахавъі|0|FIXME
Воо̄зь|Nb|-s---mn--i|воозь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
о҅віо̄да|Ne|-s---mg--i|овіода|0|FIXME
(ѡ҅҅тъ|R-|---------n|отъ|80|отъ
ротъі)|Nb|-p---fn--i|ротъі|0|FIXME
О̄вио҅̄дъ|Nb|-p---mg--i|овіодъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣе̄сеа̄|Ne|-s---mg--i|іесеа|0|FIXME
Ӣе̄сеӣ|Ne|-s---fd--i|іесеі|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
д҃да|Nb|-s---mg--i|дда|0|FIXME
ц҃рѣ|Nb|-s---mg--i|црѣ|275|цѣсарь
д҃дъ|Ne|-s---mn--i|ддъ|1246|давꙑдъ
же|Df|---------n|же|20|же
ц҃рь|Nb|-s---mn--i|црь|275|цѣсарь
роді|V-|3saia----i|роді|1195|родити#1
соломона|Ne|-s---mg--i|соломона|833|соломонъ
ѡ$т@|R-|---------n|от|80|отъ
ѹ̄ріӣнъіѩ̄|A-|-p---mapwi|оуріінъіѧ|0|FIXME
Соломонъ|Ne|-s---mn--i|соломонъ|833|соломонъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ровоа̄ма|Nb|-s---mg--i|ровоама|3325|ровъ
Ровоа̄мъ|Nb|-p---fd--i|ровоамъ|3325|ровъ
же|Df|---------n|же|20|же
роди|V-|3saia----i|роді|1195|родити#1
а̄віа̄да|Ne|-s---mg--i|авіада|2094|авиатаръ
А̄віа̄дъ|Ne|-s---mn--i|авіадъ|2094|авиатаръ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
а̄сс̆а|Ne|-s---mg--i|асса|0|FIXME
А̄сс̄̄ь|Nb|-s---mn--i|ассь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄а̄сафата|F-|---------n|іоасафата|0|FIXME
ӣо̄а̄сафатъ|V-|3spia----i|іоасафатъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄а̄рама|Nb|-s---mg--i|іоарама|0|FIXME
Ӣо̄а̄рамь|Ne|-s---mn--i|іоарамь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄зіѭ̄|Nb|-s---ma--i|іозіѭ|0|FIXME
Ӣо̄зіѣ̄|Nb|-s---ng--i|іозіѣ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄а̄тама|Nb|-d---fd--i|іоатама|0|FIXME
ӣо̄а̄тамь|Pd|-s---mn--i|іоатамь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
а̄хаза|Nb|-s---fn--i|ахаза|0|FIXME
А̄хазь|V-|2spma----i|ахазь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣе̄зекіѭ̄|Nb|-s---fa--i|іезекіѭ|0|FIXME
ӣе̄зекіѣ̄|Ne|-s---mn--i|іезекіѣ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
манасиѭ̄|Ne|-s---ma--i|манасіѭ|7377|манасиꙗ
манасіӣ|Ne|-s---mn--i|манасіі|3799|манасии
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
а̄мо̄с̄а|Nb|-s---mg--i|амоса|0|FIXME
А̄мось|Nb|-s---mn--i|амось|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄сіѭ̄|Nb|-s---fa--i|іосіѭ|0|FIXME
Ӣо̄сіа̄|Ne|-s---mg--i|іосіа|1389|иосифъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
ӣо̄хоніѭ̄|Ne|-s---fa--i|іохоніѭ|0|FIXME
и|C-|---------n|і|13|и
братиѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ
е̄го|Pp|3s---mg--i|его|64|и
Въ|R-|---------n|въ|111|въ
прѣселеніӣ|Nb|-s---nl--i|прѣселеніі|3822|прѣселѥниѥ
вавілонстѣа̄мь|A-|-s---mlpwi|вавілонстѣамь|4262|вавѵлоньскъ
По|R-|---------n|по|77|по
прѣселениӣ|Nb|-puppmn-wi|прѣселеніі|3822|прѣселѥниѥ
же|Df|---------n|же|20|же
вавілоньстѣ|A-|-s---flpsi|вавілоньстѣ|4262|вавѵлоньскъ
Ӣо̄хониѣ̄|Nb|-s---mg--i|іохоніѣ|0|FIXME
роди|V-|3saia----i|роді|1195|родити#1
салатилѣ|Nb|-s---nl--i|салатілѣ|0|FIXME
салатіль|V-|-sspamn-si|салатіль|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
зоров̄авелѣ|Ne|-s---mg--i|зоровавелѣ|0|FIXME
Зоров̄авель|Ne|-s---mn--i|зоровавель|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1195|родити#1
А̄віѹ̄да|Ne|-s---mn--i|авіоуда|0|FIXME
