сапогоу,-s---md--i
понесті,--pna----i
аште,---------n
лі,---------n
речетъ,3spia----i
зълъі,-s---mnpwi
рабъ,-s---mn--i
тъ,-s---mn--i
въ,---------n
сръдьці,-s---nl--i
своемъ,3s---ol--i
моудітъ,3spia----i
моі,1s---mn--i
гнъ,-s---mn--i
пріті,--pna----i
і,---------n
начьнетъ,3spia----i
клеврѣтъі,-p---ma--i
своѧ,3p---pa--i
ѣсті,--pna----i
же,---------n
і,---------n
піті,--pna----i
съ,---------n
пьѣніцамі,-p---mi--i
прідетъ,3spia----i
гь,-s---mn--i
раба,-s---mg--i
того,-s---og--i
въ,---------n
дьнь,-s---ma--i
въ,---------n
ньже,-s---ma--i
не,---------n
чаетъ,3spia----i
і,---------n
въ,---------n
часъ,-s---ma--i
въ,---------n
ньже,-s---ma--i
не,---------n
вѣстъ,3spia----i
і,---------n
протешетъ,3spia----i
і,3s---ma--i
полъма,-d---mi--i
і,---------n
чѧсть,-s---fa--i
его,3s---mg--i
съ,---------n
упокрітъі,-p---mi--i
тъі,2s---mn--i
положітъ,3spia----i
благъі,-s---mnpwi
бо,---------n
чкъ,-s---mn--i
отъ,---------n
благааго,-s---ngpwi
съкровішта,-s---ng--i
сръдьца,-s---ng--i
своего,3s---og--i
ізносітъ,3spia----i
благое,-s---napwi
і,---------n
зълъі,-s---mnpwi
чкъ,-s---mn--i
отъ,---------n
зълааго,-s---ngpwi
съкровішта,-s---ng--i
своего,3s---ng--i
ізносітъ,3spia----i
л,---------n
зълое,-s---napwi
і,---------n
обрѣте,3saia----i
въ,---------n
цръкъве,-s---fl--i
продаѭштѧѧ,-pppama-wi
овьцѧ,-p---fa--i
і,---------n
волъі,-p---ma--i
і,---------n
голѫбі,-p---ma--i
і,---------n
пѣнѧжьнікъі,-p---ma--i
сѣдѧштѧ,-pppapa-si
і,---------n
сътворь,-supamn-si
ѣко,---------n
бічь,-s---ma--i
отъ,---------n
връвіі,-s---fg--i
вьсѧ,-p---ma--i
ізгъна,3saia----i
і,---------n
цръкъве,-s---fg--i
овьцѧ,-p---fa--i
же,---------n
і,---------n
волъі,-p---ma--i
і,---------n
тръжьнікомъ,-p---md--i
расъіпа,3saia----i
пѣнѧзѧ,-p---ma--i
і,---------n
дъскъі,-p---fa--i
опровръже,3saia----i
і,---------n
продаѭштімъ,-pppamd-wi
голѫбі,-p---ma--i
рече,3saia----i
не,---------n
творіте,2ppma----i
домоу,-s---mg--i
оца,-s---mg--i
моего,1s---og--i
домоу,-s---mg--i
коупльнаего,-s---ogpwi
помѣнѫшѧ,3paia----i
же,---------n
оученіці,-p---mn--i
его,3s---mg--i
ѣко,---------n
напсано,-suppnn-si
естъ,3spia----i
жалость,-s---fn--i
домоу,-s---mg--i
твоего,2s---og--i
сънѣстъ,3spia----i
мѧ,1s---qa--i
отъвѣшташѧ,3paia----i
же,---------n
іюдеі,-p---mn--i
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
кое,-s---na--i
ѣвлѣеші,2spia----i
ѣко,---------n
сі,-p---na--i
творіші,2spia----i
отъвѣшта,3saia----i
