sqlite> select DISTINCT corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40';

lemma_id|lemma_ocs
257|учити
118|молити
603|исходити
244|приходити
427|мълвити
129|ходити
3453|объездити
101|творити
587|хранити
2042|объходити
3457|вълазити
1892|готовити
1777|уклонити
1659|нудити
233|любити
1135|полонити
2953|вылазити
445|учинити
2454|усладити
724|казнити
537|кърмити
679|ѣздити
1063|дивити
576|къняжити
631|мучити
1003|приводити
720|приносити
1077|съходити
464|възложити
648|въложити
128|поставити
496|носити
886|бранити
1379|возити
1700|льстити
2162|уподобити
695|славити
591|судити
2054|възносити
649|хвалити
1785|хулити
1479|тужити
1649|бродити
782|веселити
512|служити
3563|посвѣтити
1124|мыслити
222|просити
59|сътворити
1202|помьнити
196|възвратити
2889|въмѣстити
1611|трудити
147|положити
1787|износити
1984|осудити
3595|допустити
3596|припустити
767|водити
1627|тѣшити
1513|грабити
316|купити
1951|жалити
3068|мѣнити
1547|волочити
2198|крѣпити
1776|прогонити
3013|влачити
1038|правити
1006|съжалити
451|изволити
3084|недомыслити
2658|печалити
697|отъходити
327|благословити
954|благодарити
2006|находити
1871|проходити
3669|разносити
607|варити
3342|прѣтити
2572|славословити
1891|мъножити
3684|числити
2973|мѣсити
3685|квасити
3686|уцвѣтити
379|поклонити
408|отъпустити
1609|свѣтити
2525|поскочити
187|говорити
1800|рядити
2509|въдворити
1350|въходити
1941|излазити
505|испълнити
3728|навѣщати
3373|приѣздити
2183|пакостити
3775|дручити
2824|острити
1959|рачити
541|съподобити
548|утвьрдити
2368|распустити
1764|наводити
521|съмотрити
1084|приставити
806|възвѣстити
2048|чьстити
